dataset/row	baseline output	candidate output	target	baseline AST	candidate AST	target AST	W/T/L transition
mba_flatten:8	0x2 * v0 - 0x4 * (v0 & v1) - 0x3 * ~ v1	-0x2 * ~ (v0 ^ v1) - ~ v1	(-0x1) * 0x2 * ~ (v0 ^ v1) - ~ v1	10	9	11	W→W
mba_flatten:10	0x2 * ~ v1 - 0x4 * (v0 & ~ v1)	-0x2 - 0x4 * (v0 & ~ v1) - 0x2 * v1	0x2 * ~ v0 - 0x2 * (v0 ^ v1)	9	9	11	W→W
mba_flatten:13	(-0x1) * ~ (v0 ^ v1)	0x1 + (v0 ^ v1)	(-0x1) * ~ (v0 ^ v1)	5	5	5	T→T
mba_flatten:17	0x1 - (v1 & ~ v0)	0x1 - v1 + (v1 & v0)	-(v0 | v1) - ~ v0	7	7	8	W→W
mba_flatten:64	(-0x1) * ~ (v0 & v1)	0x1 + (v0 & v1)	(-0x1) * ~ (v0 & v1)	5	5	5	T→T
mba_flatten:73	-~ v0 + (v0 & v1)	0x1 + v0 + (v0 & v1)	0x1 * v0 - ~ (v0 & v1)	7	6	9	W→W
mba_flatten:90	(-0x1) * ~ (v0 ^ v1)	0x1 + (v0 ^ v1)	(-0x1) * ~ (v0 ^ v1)	5	5	5	T→T
mba_flatten:96	0x1 - (v1 & ~ v0)	0x1 - v1 + (v1 & v0)	-~ (v0 & ~ v1) - (v0 ^ v1)	7	7	11	W→W
mba_flatten:102	0x2 * ~ (v0 & v1) - v0	-0x2 - v0 - 0x2 * (v0 & v1)	-v0 + 0x2 * ~ (v0 & v1)	8	8	9	W→W
mba_flatten:104	0x2 * (v0 & ~ v1) - ~ v1	v1 + 0x1 + 0x2 * (v0 & ~ v1)	-~ (v0 ^ v1) + 0x1 * v0	9	8	9	T→W
mba_flatten:140	(-0x1) * ~ (v0 & v1)	0x1 + (v0 & v1)	(-0x1) * ~ (v0 & v1)	5	5	5	T→T
mba_flatten:141	(-0x1) * ~ (v0 | v1)	0x1 + (v0 | v1)	0x1 * v0 - (v0 | ~ v1)	5	5	9	W→W
mba_flatten:145	0x3 * v0 - ~ (v0 & v1)	0x1 + 0x3 * v0 + (v0 & v1)	0x3 * v0 - ~ (v0 & v1)	8	7	9	W→W
mba_flatten:152	0x1 - (v0 & ~ v1)	0x1 - v0 + (v0 & v1)	-(v0 | v1) - ~ v1	7	7	8	W→W
mba_flatten:153	-0x2 - (v0 & ~ v1)	-0x2 - v0 + (v0 & v1)	0x1 * ~ (v0 & ~ v0) + 0x1 * ~ (v0 & ~ v1)	7	7	15	W→W
mba_flatten:155	0x2 * v1 - ~ (v1 & v0)	0x1 + 0x2 * v1 + (v1 & v0)	0x2 * v1 - ~ (v0 & v1)	8	7	9	W→W
mba_flatten:162	-0x2 * v0 - ~ (v0 & v1)	0x1 - 0x2 * v0 + (v0 & v1)	-~ (v0 & v1) - 0x2 * v0	8	7	10	W→W
mba_flatten:166	(-0x1) * ~ (v0 ^ v1)	0x1 + (v0 ^ v1)	(-0x1) * ~ (v0 ^ v1)	5	5	5	T→T
mba_flatten:168	0x2 * ~ v0 + 0x6 * (v0 & v1) - 0x4 * v1	-0x2 - 0x2 * v0 - 0x4 * v1 + 0x6 * (v0 & v1)	0x2 * (v0 | ~ v1) - 0x2 * (v0 ^ v1)	10	10	13	W→W
mba_flatten:171	0x2 * ~ v0 + (v0 & v1)	-0x2 - 0x2 * v0 + (v0 & v1)	0x1 * ~ (v0 & ~ v1) + 0x1 * ~ v0	7	7	12	W→W
mba_flatten:188	(-0x1) * ~ (v0 ^ v1)	0x1 + (v0 ^ v1)	(-0x1) * ~ (v0 ^ v1)	5	5	5	T→T
mba_flatten:193	v1 - ~ v0	0x1 + v0 + v1	-~ (v0 & v1) + 0x1 * (v0 | v1)	5	4	11	W→W
mba_flatten:194	(-0x1) * ~ (v0 & v1)	0x1 + (v0 & v1)	(-0x1) * ~ (v0 & v1)	5	5	5	T→T
mba_flatten:202	0x2 * v1 - (~ v0 | v1)	0x1 + 0x2 * v1 + (v0 & ~ v1)	-~ v1 + 0x1 * (v0 | v1)	8	8	9	W→W
