dataset	line	lemma_id	source_nodes	candidate_nodes	source	candidate
qsynth_ea.csv	13	structured_lemma_qsynth_ea_csv_13_0	13	10	~ ((-0x1) * v1 + (-0x1) * (v0 * v1) + (-0x1) * (v1 * v1 * v1))	v1 + (-0x1) + v0 * v1 + v1 * v1 * v1
qsynth_ea.csv	13	structured_lemma_qsynth_ea_csv_13_1	9	5	~ ((-0x1) * (v0 + v1 * v1) + (-0x1))	v0 + v1 * v1
qsynth_ea.csv	13	structured_lemma_qsynth_ea_csv_13_2	2	1	(-0x1) * 0x1	(-0x1)
qsynth_ea.csv	13	structured_lemma_qsynth_ea_csv_13_3	2	1	(-0x1) * 0x2	(-0x2)
qsynth_ea.csv	13	structured_lemma_qsynth_ea_csv_13_4	4	3	(-0x1) * (0x2 * (v1))	(-0x2) * (v1)
qsynth_ea.csv	13	structured_lemma_qsynth_ea_csv_13_5	12	11	(-0x1) * ((-0x2) + 0x2 * (0x2 * v1 & v1 * v1) + (-0x4) * v1)	0x2 + 0x4 * v1 + (-0x2) * (0x2 * v1 & v1 * v1)
qsynth_ea.csv	13	structured_lemma_qsynth_ea_csv_13_6	3	2	v1 & v1	v1
qsynth_ea.csv	13	structured_lemma_qsynth_ea_csv_13_7	4	1	v1 & ~ v1	0x0
qsynth_ea.csv	13	structured_lemma_qsynth_ea_csv_13_8	4	1	~ v1 & v1	0x0
qsynth_ea.csv	13	structured_lemma_qsynth_ea_csv_13_9	8	7	v0 + v1 * v1 & (v1)	v1 & v0 + v1 * v1
qsynth_ea.csv	13	structured_lemma_qsynth_ea_csv_13_10	11	10	(-0x1) * (v0 + v1 * v1) + (-0x1) & (v1)	v1 & (-0x1) + (-0x1) * v0 + (-0x1) * (v1 * v1)
qsynth_ea.csv	13	structured_lemma_qsynth_ea_csv_13_11	3	2	v1 | v1	v1
qsynth_ea.csv	13	structured_lemma_qsynth_ea_csv_13_12	3	2	0x0 + v1	v1
qsynth_ea.csv	13	structured_lemma_qsynth_ea_csv_13_13	5	3	(v1) + (v1)	0x2 * (v1)
qsynth_ea.csv	13	structured_lemma_qsynth_ea_csv_13_14	17	11	(v1 * v1 | ~ (0x2 * (v1))) + (v1 * v1 | ~ (0x2 * (v1)))	(-0x2) + 0x2 * (0x2 * v1 & v1 * v1) + (-0x4) * v1
qsynth_ea.csv	13	structured_lemma_qsynth_ea_csv_13_15	14	6	(v0 ^ ~ (v1 * v1)) + (v0 | v1 * v1) * 0x2	v0 + (-0x1) + v1 * v1
qsynth_ea.csv	13	structured_lemma_qsynth_ea_csv_13_16	8	5	(v0 + (-0x1) + v1 * v1) + 0x1	v0 + v1 * v1
qsynth_ea.csv	13	structured_lemma_qsynth_ea_csv_13_17	16	13	(0x2 + 0x2 * v1 + (-0x2) * (0x2 * v1 & v1 * v1) + v1 * v1) + (-0x2)	0x2 * v1 + (-0x2) * (0x2 * v1 & v1 * v1) + v1 * v1
qsynth_ea.csv	13	structured_lemma_qsynth_ea_csv_13_18	18	14	((-0x2) * v1 + v1 * v1) + (0x2 + 0x4 * v1 + (-0x2) * (0x2 * v1 & v1 * v1))	0x2 + 0x2 * v1 + (-0x2) * (0x2 * v1 & v1 * v1) + v1 * v1
qsynth_ea.csv	13	structured_lemma_qsynth_ea_csv_13_19	5	3	v1 * v1 + 0x0	v1 * v1
qsynth_ea.csv	13	structured_lemma_qsynth_ea_csv_13_20	7	6	v1 * v1 + (-0x2) * (v1)	(-0x2) * v1 + v1 * v1
qsynth_ea.csv	13	structured_lemma_qsynth_ea_csv_13_21	43	12	(v1 & (-0x1) + (-0x1) * v0 + (-0x1) * (v1 * v1)) * ((-0x1) * (v0 + v1 * v1) + (-0x1) | v1) + ((-0x1) * (v0 + v1 * v1) + (-0x1) & ~ (v1)) * (v1 & v0 + v1 * v1)	(-0x1) * v1 + (-0x1) * (v0 * v1) + (-0x1) * (v1 * v1 * v1)
qsynth_ea.csv	13	structured_lemma_qsynth_ea_csv_13_22	3	1	0x0 * 0x0	0x0
qsynth_ea.csv	13	structured_lemma_qsynth_ea_csv_13_23	5	3	(v1) * (v1)	v1 * v1
qsynth_ea.csv	25	structured_lemma_qsynth_ea_csv_25_0	2	1	(-0x1) * 0x1	(-0x1)
qsynth_ea.csv	25	structured_lemma_qsynth_ea_csv_25_1	4	3	(-0x1) * (0x2 * (v2))	(-0x2) * (v2)
qsynth_ea.csv	25	structured_lemma_qsynth_ea_csv_25_2	12	10	(-0x1) * ((-0x1) + (-0x1) * (v2) + (-0x1) * (v3) + (v2 & v3))	0x1 + (v2) + (v3) + (-0x1) * (v2 & v3)
qsynth_ea.csv	25	structured_lemma_qsynth_ea_csv_25_3	3	2	v2 & v2	v2
