dataset	line	bridge_id	lemma_count	lemma_ids	source_nf_nodes	final_nf_nodes	source_nf	final_nf
qsynth_ea.csv	13	structured_bridge_qsynth_ea_csv_13	24	structured_lemma_qsynth_ea_csv_13_0,structured_lemma_qsynth_ea_csv_13_1,structured_lemma_qsynth_ea_csv_13_2,structured_lemma_qsynth_ea_csv_13_3,structured_lemma_qsynth_ea_csv_13_4,structured_lemma_qsynth_ea_csv_13_5,structured_lemma_qsynth_ea_csv_13_6,structured_lemma_qsynth_ea_csv_13_7,structured_lemma_qsynth_ea_csv_13_8,structured_lemma_qsynth_ea_csv_13_9,structured_lemma_qsynth_ea_csv_13_10,structured_lemma_qsynth_ea_csv_13_11,structured_lemma_qsynth_ea_csv_13_12,structured_lemma_qsynth_ea_csv_13_13,structured_lemma_qsynth_ea_csv_13_14,structured_lemma_qsynth_ea_csv_13_15,structured_lemma_qsynth_ea_csv_13_16,structured_lemma_qsynth_ea_csv_13_17,structured_lemma_qsynth_ea_csv_13_18,structured_lemma_qsynth_ea_csv_13_19,structured_lemma_qsynth_ea_csv_13_20,structured_lemma_qsynth_ea_csv_13_21,structured_lemma_qsynth_ea_csv_13_22,structured_lemma_qsynth_ea_csv_13_23	36	15	(v1 + (-0x1) + v0 * v1 + v1 * v1 * v1 | 0x2 * v1 + (-0x2) * (0x2 * v1 & v1 * v1) + v1 * v1) + (-0x1) * (v1 + (-0x1) + v0 * v1 + v1 * v1 * v1)	(0x2 * v1 ^ v1 * v1) & v1 * ~ (v0 + v1 * v1)
qsynth_ea.csv	25	structured_bridge_qsynth_ea_csv_25	21	structured_lemma_qsynth_ea_csv_25_0,structured_lemma_qsynth_ea_csv_25_1,structured_lemma_qsynth_ea_csv_25_2,structured_lemma_qsynth_ea_csv_25_3,structured_lemma_qsynth_ea_csv_25_4,structured_lemma_qsynth_ea_csv_25_5,structured_lemma_qsynth_ea_csv_25_6,structured_lemma_qsynth_ea_csv_25_7,structured_lemma_qsynth_ea_csv_25_8,structured_lemma_qsynth_ea_csv_25_9,structured_lemma_qsynth_ea_csv_25_10,structured_lemma_qsynth_ea_csv_25_11,structured_lemma_qsynth_ea_csv_25_12,structured_lemma_qsynth_ea_csv_25_13,structured_lemma_qsynth_ea_csv_25_14,structured_lemma_qsynth_ea_csv_25_15,structured_lemma_qsynth_ea_csv_25_16,structured_lemma_qsynth_ea_csv_25_17,structured_lemma_qsynth_ea_csv_25_18,structured_lemma_qsynth_ea_csv_25_19,structured_lemma_qsynth_ea_csv_25_20	35	12	(v2 + (v2 & v3) + (v3 & (-0x1) + (-0x2) * v2)) + ((-0x1) * (v3 + 0x2 * v2 + (v3 & (-0x1) + (-0x2) * v2)) + (-0x1) | (v2) + (v3) + (-0x1) * (v2 & v3))	~ v2 & ~ v3 | v3 + (v3 | 0x2 * v2)
qsynth_ea.csv	53	structured_bridge_qsynth_ea_csv_53	19	structured_lemma_qsynth_ea_csv_53_0,structured_lemma_qsynth_ea_csv_53_1,structured_lemma_qsynth_ea_csv_53_2,structured_lemma_qsynth_ea_csv_53_3,structured_lemma_qsynth_ea_csv_53_4,structured_lemma_qsynth_ea_csv_53_5,structured_lemma_qsynth_ea_csv_53_6,structured_lemma_qsynth_ea_csv_53_7,structured_lemma_qsynth_ea_csv_53_8,structured_lemma_qsynth_ea_csv_53_9,structured_lemma_qsynth_ea_csv_53_10,structured_lemma_qsynth_ea_csv_53_11,structured_lemma_qsynth_ea_csv_53_12,structured_lemma_qsynth_ea_csv_53_13,structured_lemma_qsynth_ea_csv_53_14,structured_lemma_qsynth_ea_csv_53_15,structured_lemma_qsynth_ea_csv_53_16,structured_lemma_qsynth_ea_csv_53_17,structured_lemma_qsynth_ea_csv_53_18	82	41	(0x2 * (v1 * v1) + (-0x1) * v0 + (-0x1) * v1 + (-0x1) * (v1 * (v1 & v2)) + (v0 & v1) + (v2 & (-0x1) + (-0x2) * (v1 * v1) + (-0x1) * (v1 * v2) + v1 * (v1 & v2)) + v1 * v2) + ((-0x1) + (-0x2) * (v1 * v1) + (-0x1) * (v2 & (-0x1) + (-0x2) * (v1 * v1) + (-0x1) * (v1 * v2) + v1 * (v1 & v2)) + (-0x1) * (v1 * v2) + v1 * (v1 & v2) | (v0) + (v1) + (-0x1) * (v0 & v1))	(-0x1) * (~ (v2 | v1 * (v1 + (v1 | v2))) & v0) + (v0 & v1 & (-0x1) * (0x1 + (v2 | v1 * (v1 + (v1 | v2))))) + ((~ v1 | v2) | v1 * (v1 + (v1 | v2)))
qsynth_ea.csv	77	structured_bridge_qsynth_ea_csv_77	27	structured_lemma_qsynth_ea_csv_77_0,structured_lemma_qsynth_ea_csv_77_1,structured_lemma_qsynth_ea_csv_77_2,structured_lemma_qsynth_ea_csv_77_3,structured_lemma_qsynth_ea_csv_77_4,structured_lemma_qsynth_ea_csv_77_5,structured_lemma_qsynth_ea_csv_77_6,structured_lemma_qsynth_ea_csv_77_7,structured_lemma_qsynth_ea_csv_77_8,structured_lemma_qsynth_ea_csv_77_9,structured_lemma_qsynth_ea_csv_77_10,structured_lemma_qsynth_ea_csv_77_11,structured_lemma_qsynth_ea_csv_77_12,structured_lemma_qsynth_ea_csv_77_13,structured_lemma_qsynth_ea_csv_77_14,structured_lemma_qsynth_ea_csv_77_15,structured_lemma_qsynth_ea_csv_77_16,structured_lemma_qsynth_ea_csv_77_17,structured_lemma_qsynth_ea_csv_77_18,structured_lemma_qsynth_ea_csv_77_19,structured_lemma_qsynth_ea_csv_77_20,structured_lemma_qsynth_ea_csv_77_21,structured_lemma_qsynth_ea_csv_77_22,structured_lemma_qsynth_ea_csv_77_23,structured_lemma_qsynth_ea_csv_77_24,structured_lemma_qsynth_ea_csv_77_25,structured_lemma_qsynth_ea_csv_77_26	24	16	(-0x1) * v0 + (-0x1) * v2 + (v0 & v2) + (0x2 * v2 & v0 + v2 + ((-0x1) + (-0x1) * v0 + (-0x1) * v2 & v2 * v2))	(-0x1) * ((-0x1) * (0x2 * v2 & (v0 + v2 | v2 * v2)) + (v0 | v2))
qsynth_ea.csv	125	structured_bridge_qsynth_ea_csv_125	25	structured_lemma_qsynth_ea_csv_125_0,structured_lemma_qsynth_ea_csv_125_1,structured_lemma_qsynth_ea_csv_125_2,structured_lemma_qsynth_ea_csv_125_3,structured_lemma_qsynth_ea_csv_125_4,structured_lemma_qsynth_ea_csv_125_5,structured_lemma_qsynth_ea_csv_125_6,structured_lemma_qsynth_ea_csv_125_7,structured_lemma_qsynth_ea_csv_125_8,structured_lemma_qsynth_ea_csv_125_9,structured_lemma_qsynth_ea_csv_125_10,structured_lemma_qsynth_ea_csv_125_11,structured_lemma_qsynth_ea_csv_125_12,structured_lemma_qsynth_ea_csv_125_13,structured_lemma_qsynth_ea_csv_125_14,structured_lemma_qsynth_ea_csv_125_15,structured_lemma_qsynth_ea_csv_125_16,structured_lemma_qsynth_ea_csv_125_17,structured_lemma_qsynth_ea_csv_125_18,structured_lemma_qsynth_ea_csv_125_19,structured_lemma_qsynth_ea_csv_125_20,structured_lemma_qsynth_ea_csv_125_21,structured_lemma_qsynth_ea_csv_125_22,structured_lemma_qsynth_ea_csv_125_23,structured_lemma_qsynth_ea_csv_125_24	38	37	v2 + (-0x1) + (-0x1) * (v2 & v3 + (-0x1)) + (v2 & v3 & v3 + (-0x1)) + (v2 + (-0x1) * v4 & (-0x1) * v2 + (-0x1) * (v2 & v3 & v3 + (-0x1)) + (v2 & v3 + (-0x1)) & v3 * v3)	v2 + (v2 & v3 & v3 + (-0x1)) + (v2 + (-0x1) * v4 & (-0x1) * v2 + (-0x1) * (v2 & v3 & v3 + (-0x1)) + (v2 & v3 + (-0x1)) & v3 * v3) + ~ (v2 & v3 + (-0x1))
qsynth_ea.csv	134	structured_bridge_qsynth_ea_csv_134	25	structured_lemma_qsynth_ea_csv_134_0,structured_lemma_qsynth_ea_csv_134_1,structured_lemma_qsynth_ea_csv_134_2,structured_lemma_qsynth_ea_csv_134_3,structured_lemma_qsynth_ea_csv_134_4,structured_lemma_qsynth_ea_csv_134_5,structured_lemma_qsynth_ea_csv_134_6,structured_lemma_qsynth_ea_csv_134_7,structured_lemma_qsynth_ea_csv_134_8,structured_lemma_qsynth_ea_csv_134_9,structured_lemma_qsynth_ea_csv_134_10,structured_lemma_qsynth_ea_csv_134_11,structured_lemma_qsynth_ea_csv_134_12,structured_lemma_qsynth_ea_csv_134_13,structured_lemma_qsynth_ea_csv_134_14,structured_lemma_qsynth_ea_csv_134_15,structured_lemma_qsynth_ea_csv_134_16,structured_lemma_qsynth_ea_csv_134_17,structured_lemma_qsynth_ea_csv_134_18,structured_lemma_qsynth_ea_csv_134_19,structured_lemma_qsynth_ea_csv_134_20,structured_lemma_qsynth_ea_csv_134_21,structured_lemma_qsynth_ea_csv_134_22,structured_lemma_qsynth_ea_csv_134_23,structured_lemma_qsynth_ea_csv_134_24	32	28	(-0x1) + (-0x1) * (v2 + v4 + (-0x1) + (v2 & v4 & (-0x1) + (-0x1) * v2 + (-0x1) * v4) & v2 + (-0x1) + 0x2 * v4 + (-0x2) * (v4 & v2 + v4) + (-0x1) * (v4 * v4))	~ (v2 + v4 + (-0x1) + (v2 & v4 & ~ (v2 + v4)) & v2 + (-0x1) + 0x2 * v4 + (-0x2) * (v4 & v2 + v4) + (-0x1) * (v4 * v4))
qsynth_ea.csv	139	structured_bridge_qsynth_ea_csv_139	19	structured_lemma_qsynth_ea_csv_139_0,structured_lemma_qsynth_ea_csv_139_1,structured_lemma_qsynth_ea_csv_139_2,structured_lemma_qsynth_ea_csv_139_3,structured_lemma_qsynth_ea_csv_139_4,structured_lemma_qsynth_ea_csv_139_5,structured_lemma_qsynth_ea_csv_139_6,structured_lemma_qsynth_ea_csv_139_7,structured_lemma_qsynth_ea_csv_139_8,structured_lemma_qsynth_ea_csv_139_9,structured_lemma_qsynth_ea_csv_139_10,structured_lemma_qsynth_ea_csv_139_11,structured_lemma_qsynth_ea_csv_139_12,structured_lemma_qsynth_ea_csv_139_13,structured_lemma_qsynth_ea_csv_139_14,structured_lemma_qsynth_ea_csv_139_15,structured_lemma_qsynth_ea_csv_139_16,structured_lemma_qsynth_ea_csv_139_17,structured_lemma_qsynth_ea_csv_139_18	50	14	(v0 + v1 + v2 + 0x1 + (-0x2) * (v0 & v1 + v2) | (v0 & v2) + (v1 & v2) + (-0x2) * (v0 & v1 & v2)) + (-0x1) * (v0 + v1 + v2 + 0x1 + (-0x2) * (v0 & v1 + v2) & (v0 & v2) + (v1 & v2) + (-0x2) * (v0 & v1 & v2))	v1 & v2 ^ v0 & v2 ^ (-0x1) * (~ (v1 + v2) ^ v0)
qsynth_ea.csv	210	structured_bridge_qsynth_ea_csv_210	22	structured_lemma_qsynth_ea_csv_210_0,structured_lemma_qsynth_ea_csv_210_1,structured_lemma_qsynth_ea_csv_210_2,structured_lemma_qsynth_ea_csv_210_3,structured_lemma_qsynth_ea_csv_210_4,structured_lemma_qsynth_ea_csv_210_5,structured_lemma_qsynth_ea_csv_210_6,structured_lemma_qsynth_ea_csv_210_7,structured_lemma_qsynth_ea_csv_210_8,structured_lemma_qsynth_ea_csv_210_9,structured_lemma_qsynth_ea_csv_210_10,structured_lemma_qsynth_ea_csv_210_11,structured_lemma_qsynth_ea_csv_210_12,structured_lemma_qsynth_ea_csv_210_13,structured_lemma_qsynth_ea_csv_210_14,structured_lemma_qsynth_ea_csv_210_15,structured_lemma_qsynth_ea_csv_210_16,structured_lemma_qsynth_ea_csv_210_17,structured_lemma_qsynth_ea_csv_210_18,structured_lemma_qsynth_ea_csv_210_19,structured_lemma_qsynth_ea_csv_210_20,structured_lemma_qsynth_ea_csv_210_21	43	15	(v2 + (-0x1) + 0x2 * (0x2 * v3 & v3 + (-0x1) * v2) + (-0x3) * v3 | v2 + (-0x1) * (v2 & (-0x1) + (-0x1) * (v2 * v3) + v3 * v3)) + (-0x1) * (v2 + (-0x1) + 0x2 * (0x2 * v3 & v3 + (-0x1) * v2) + (-0x3) * v3)	v2 & (0x2 * v3 ^ v3 + (-0x1) * v2) & v3 * ((-0x1) * v3 + v2)
qsynth_ea.csv	234	structured_bridge_qsynth_ea_csv_234	19	structured_lemma_qsynth_ea_csv_234_0,structured_lemma_qsynth_ea_csv_234_1,structured_lemma_qsynth_ea_csv_234_2,structured_lemma_qsynth_ea_csv_234_3,structured_lemma_qsynth_ea_csv_234_4,structured_lemma_qsynth_ea_csv_234_5,structured_lemma_qsynth_ea_csv_234_6,structured_lemma_qsynth_ea_csv_234_7,structured_lemma_qsynth_ea_csv_234_8,structured_lemma_qsynth_ea_csv_234_9,structured_lemma_qsynth_ea_csv_234_10,structured_lemma_qsynth_ea_csv_234_11,structured_lemma_qsynth_ea_csv_234_12,structured_lemma_qsynth_ea_csv_234_13,structured_lemma_qsynth_ea_csv_234_14,structured_lemma_qsynth_ea_csv_234_15,structured_lemma_qsynth_ea_csv_234_16,structured_lemma_qsynth_ea_csv_234_17,structured_lemma_qsynth_ea_csv_234_18	62	16	(0x1 + (-0x2) * (v2 * v3 & v3 * v3) + (-0x1) * (v2 * v3 * (v3 & (-0x1) * v2)) + v2 * v3 + v2 * v3 * v3 + v3 * v3) + ((-0x1) + (-0x1) * (v2 * v3 * v3) + v2 * v3 * (v3 & (-0x1) * v2) | (-0x1) * ((-0x2) * (v2 * v3 & v3 * v3) + v2 * v3 + v3 * v3) + (-0x1))	v2 * v3 ^ v3 * v3 | v2 * v3 * (v3 & v2 + (-0x1))
qsynth_ea.csv	249	structured_bridge_qsynth_ea_csv_249	28	structured_lemma_qsynth_ea_csv_249_0,structured_lemma_qsynth_ea_csv_249_1,structured_lemma_qsynth_ea_csv_249_2,structured_lemma_qsynth_ea_csv_249_3,structured_lemma_qsynth_ea_csv_249_4,structured_lemma_qsynth_ea_csv_249_5,structured_lemma_qsynth_ea_csv_249_6,structured_lemma_qsynth_ea_csv_249_7,structured_lemma_qsynth_ea_csv_249_8,structured_lemma_qsynth_ea_csv_249_9,structured_lemma_qsynth_ea_csv_249_10,structured_lemma_qsynth_ea_csv_249_11,structured_lemma_qsynth_ea_csv_249_12,structured_lemma_qsynth_ea_csv_249_13,structured_lemma_qsynth_ea_csv_249_14,structured_lemma_qsynth_ea_csv_249_15,structured_lemma_qsynth_ea_csv_249_16,structured_lemma_qsynth_ea_csv_249_17,structured_lemma_qsynth_ea_csv_249_18,structured_lemma_qsynth_ea_csv_249_19,structured_lemma_qsynth_ea_csv_249_20,structured_lemma_qsynth_ea_csv_249_21,structured_lemma_qsynth_ea_csv_249_22,structured_lemma_qsynth_ea_csv_249_23,structured_lemma_qsynth_ea_csv_249_24,structured_lemma_qsynth_ea_csv_249_25,structured_lemma_qsynth_ea_csv_249_26,structured_lemma_qsynth_ea_csv_249_27	75	114	v1 + 0x2 * v0 + (-0x2) * (v0 & (-0x2) * (v1 & (-0x1) * v1 + (-0x1) * (v0 * v1)) + (-0x1) * (v0 * v1)) + (-0x2) * (v1 & (-0x1) * v1 + (-0x1) * (v0 * v1)) + (-0x2) * (v0 + v1 & v0 + (-0x2) * (v0 & (-0x2) * (v1 & (-0x1) * v1 + (-0x1) * (v0 * v1)) + (-0x1) * (v0 * v1)) + (-0x2) * (v1 & (-0x1) * v1 + (-0x1) * (v0 * v1)) + (-0x1) * (v0 * v1)) + (-0x1) * (v0 * v1)	v1 + 0x2 * v0 + 0x4 * (v0 & v1 & v0 + v1) + 0x4 * (v0 & v1 & (-0x1) * v1 + (-0x1) * (v0 * v1)) + 0x4 * (v0 & v0 + v1 & (-0x1) * v1 + (-0x1) * (v0 * v1)) + 0x4 * (v1 & v0 + v1 & (-0x1) * v1 + (-0x1) * (v0 * v1)) + (-0x8) * (v0 & v1 & v0 + v1 & (-0x1) * v1 + (-0x1) * (v0 * v1)) + (-0x2) * (v0 & v1) + (-0x2) * (v0 & v0 + v1) + (-0x2) * (v0 & (-0x1) * v1 + (-0x1) * (v0 * v1)) + (-0x2) * (v1 & v0 + v1) + (-0x2) * (v1 & (-0x1) * v1 + (-0x1) * (v0 * v1)) + (-0x2) * (v0 + v1 & (-0x1) * v1 + (-0x1) * (v0 * v1)) + (-0x1) * (v0 * v1)
